2Simulación,Caudal (m³/s)
1241,1.810145
1242,1.821798
1243,1.814013
1244,1.815953
1245,1.804374
1246,1.821798
1247,1.817897
1248,1.812077
1249,1.817897
1250,1.815953
1251,1.819846
1252,1.815953
1253,1.812077
1254,1.810145
1255,1.823755
1256,1.817897
1257,1.817897
1258,1.812077
1259,1.817897
1260,1.812077
1261,1.804374
1262,1.814013
1263,1.806294
1264,1.810145
1265,1.808217
1266,1.812077
1267,1.806294
1268,1.814013
1269,1.812077
1270,1.817897
1271,1.815953
1272,1.808217
1273,1.825716
1274,1.817897
1275,1.814013
1276,1.823755
1277,1.806294
1278,1.806294
1279,1.815953
1280,1.821798
1281,1.819846
1282,1.819846
1283,1.808217
1284,1.814013
1285,1.817897
1286,1.815953
1287,1.812077
1288,1.817897
1289,1.804374
1290,1.819846
1291,1.815953
1292,1.817897
1293,1.808217
1294,1.812077
1295,1.823755
1296,1.812077
1297,1.821798
1298,1.819846
1299,1.806294
1300,1.815953
1301,1.812077
1302,1.817897
1303,1.814013
1304,1.812077
1305,1.817897
1306,1.812077
1307,1.817897
1308,1.814013
1309,1.812077
1310,1.812077
1311,1.804374
1312,1.812077
1313,1.814013
1314,1.814013
1315,1.812077
1316,1.806294
1317,1.815953
1318,1.810145
1319,1.812077
1320,1.817897
1321,1.823755
1322,1.810145
1323,1.812077
1324,1.810145
1325,1.819846
1326,1.810145
1327,1.808217
1328,1.814013
1329,1.821798
1330,1.817897
1331,1.810145
1332,1.815953
1333,1.817897
1334,1.821798
1335,1.815953
1336,1.814013
1337,1.819846
1338,1.808217
1339,1.821798
1340,1.812077
1341,1.814013
1342,1.812077
1343,1.810145
1344,1.802459
1345,1.812077
1346,1.815953
1347,1.817897
1348,1.804374
1349,1.819846
1350,1.815953
1351,1.815953
1352,1.814013
1353,1.817897
1354,1.814013
1355,1.814013
1356,1.814013
1357,1.808217
1358,1.819846
1359,1.814013
1360,1.810145
1361,1.808217
1362,1.814013
1363,1.815953
1364,1.812077
1365,1.817897
1366,1.817897
1367,1.815953
1368,1.817897
1369,1.808217
1370,1.814013
1371,1.808217
1372,1.814013
1373,1.812077
1374,1.810145
1375,1.815953
1376,1.817897
1377,1.814013
1378,1.814013
1379,1.815953
1380,1.810145
1381,1.808217
1382,1.812077
1383,1.804374
1384,1.814013
1385,1.815953
1386,1.814013
1387,1.806294
1388,1.817897
1389,1.810145
1390,1.815953
1391,1.814013
1392,1.817897
1393,1.815953
1394,1.817897
1395,1.823755
1396,1.806294
1397,1.814013
1398,1.812077
